day	hour	value
1	1	6
1	2	4
1	3	3
1	4	4
1	5	5
1	6	5
1	7	5
1	8	5
1	9	5
1	10	5
1	11	6
1	12	6
1	13	6
1	14	7
1	15	9
1	16	7
1	17	8
1	18	7
1	19	7
1	20	8
1	21	6
1	22	7
1	23	7
1	24	6
2	1	6
2	2	3
2	3	6
2	4	6
2	5	5
2	6	5
2	7	5
2	8	6
2	9	7
2	10	6
2	11	7
2	12	8
2	13	8
2	14	8
2	15	8
2	16	9
2	17	9
2	18	9
2	19	9
2	20	7
2	21	7
2	22	7
2	23	7
2	24	7
3	1	7
3	2	6
3	3	6
3	4	7
3	5	6
3	6	6
3	7	5
3	8	4
3	9	6
3	10	7
3	11	8
3	12	9
3	13	8
3	14	9
3	15	8
3	16	10
3	17	8
3	18	8
3	19	9
3	20	8
3	21	8
3	22	6
3	23	7
3	24	6
4	1	6
4	2	5
4	3	5
4	4	5
4	5	7
4	6	6
4	7	5
4	8	5
4	9	7
4	10	6
4	11	7
4	12	9
4	13	8
4	14	9
4	15	10
4	16	8
4	17	9
4	18	8
4	19	8
4	20	9
4	21	7
4	22	7
4	23	8
4	24	6
5	1	7
5	2	5
5	3	5
5	4	6
5	5	5
5	6	4
5	7	4
5	8	4
5	9	5
5	10	5
5	11	6
5	12	7
5	13	8
5	14	8
5	15	8
5	16	7
5	17	9
5	18	8
5	19	7
5	20	8
5	21	7
5	22	7
5	23	8
5	24	6
6	1	6
6	2	6
6	3	5
6	4	5
6	5	3
6	6	4
6	7	3
6	8	3
6	9	4
6	10	2
6	11	4
6	12	6
6	13	8
6	14	9
6	15	7
6	16	5
6	17	6
6	18	6
6	19	7
6	20	5
6	21	5
6	22	7
6	23	7
6	24	5
7	1	5
7	2	4
7	3	5
7	4	3
7	5	1
7	6	3
7	7	2
7	8	2
7	9	1
7	10	1
7	11	3
7	12	5
7	13	8
7	14	9
7	15	7
7	16	8
7	17	6
7	18	6
7	19	6
7	20	6
7	21	6
7	22	6
7	23	8
7	24	5
